Auntsfield Estate South Oaks Barrel Fermented Sauvignon Blanc,Sauvignon Blanc,$38 NZD,2013,Auntsfield Estate,5,,,,,,,,,,,,,,,,,,,,,,,,,,159
Auntsfield Estate Sauvignon Blanc,Sauvignon Blanc,$22.95 NZD,2014,Auntsfield Estate,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,160
Auntsfield Estate Single Vineyard Pinot Noir,Pinot Noir,$45 NZD,2015,Auntsfield Estate,5,,,,,,,,,,,,,,,,,,,,,,,,,,161
Auntsfield Estate Southern Valleys Sauvignon Blanc,Sauvignon Blanc,$22.95 NZD,2015,Auntsfield Estate,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,162
Auntsfield Estate Single Vineyard Pinot Noir,Pinot Noir,$45 NZD,2016,Auntsfield Estate,5,,,,,,,,,,,,,,,,,,,,,,,,,,163
Auntsfield Single Vineyard Sauvignon Blanc,Sauvignon Blanc,$22.95 NZD,2016,Auntsfield Estate,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,164
Auntsfield Estate South Oaks Barrel Fermented Sauvignon Blanc,Sauvignon Blanc,$38 NZD,2016,Auntsfield Estate,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,165
Auntsfield Estate Sauvignon Blanc,Sauvignon Blanc,$25 NZD,2017,Auntsfield Estate,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,166
Auntsfield Estate Southern Valleys Sauvignon Blanc,Sauvignon Blanc,$25 NZD,2018,Auntsfield Estate,4,,,,,,,,,,,,,,,,,,,,,,,,,,167
Awatere River by Louis Vavasour Pinot Noir,Pinot Noir,$32 NZD,2013,Awatere River Wine Company,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,168
Awatere River by Louis Vavasour Sauvignon Blanc,Sauvignon Blanc,$23 NZD,2014,Awatere River Wine Company,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,169
